,latitude,longitude,co2,pm25,pm10
0,38.02478,-78.48458,448.33716475095787,1.6896551724137931,1.8419540229885059
1,38.025092,-78.503586,331.6063492063492,1.8455026455026455,2.2582010582010583
2,38.02557,-78.51661,556.0083752093802,1.9547738693467336,2.576214405360134
3,38.025759,-78.469295,391.40751445086704,2.46242774566474,2.708092485549133
4,38.02758,-78.515191,485.8707317073171,1.9536585365853658,2.1097560975609757
5,38.029883,-78.484047,493.49608197709466,1.7245328511151297,2.0277275467148885
6,38.030613,-78.479057,474.3207215134184,2.961284645842499,3.2542894852617685
7,38.045801,-78.503947,523.666129032258,2.2338709677419355,2.7661290322580645
8,38.04745,-78.48303,540.1795096322242,1.819614711033275,2.274080560420315
9,38.06546,-78.49582,710.7626373626374,1.9714285714285715,1.978021978021978
